Feature,Importance
Acousticness,4.753391738027128
Days_Since_Release,1.4162086897602855
Liveness,0.6191737394476381
Danceability,0.536173104368972
Speechiness,0.47053443831391706
Valence,0.42229436355705957
Valence_Danceability,0.4052884957843639
Loudness_Energy,0.28876417851498953
Tempo,0.2668622021364119
Energy,0.22794201445413073
Energy_Danceability,0.19890192182528438
Instrumentalness,0.1867530145257809
Loudness,0.13054281490646846
Release_Year,0.10410608411647086
Release_Month,0.07850154502342388
